item,VAT,hierarchy1,hierarchy2,description,pack_description,qty_in_stock,cases_in_stock,EAN1,EAN2,EAN3,Internal EAN 1,Internal EAN 2,Internal EAN 3,Internal EAN 4,Pack 1,Sell 1,Pack 2,Sell 2,Pack 3,Sell 3,promID ,promStart,promEnd,promSell Pack 1,promSell for Sell 1,promSell Pack 2,promSell for Sell 2,promSell Pack 3,promSell for Sell 3,Max. Order,RRP,POR %,PMP/Plain,Type
81951,A,14,14002,DR BECKMANN CARPET STAIN REMOVER BRUSH,6x650ML,3,3,,,,,,,,,15.79,,,,,,,,,,,,,,,3.99,20.85,PLAIN,SINGLE
81970,A,14,14002,DR BECKMANN STAIN DEVIL WINE FRUIT & DRINKS,6x50ML,2,2,,,,,,,,,5.99,,,,,,,,,,,,,,,1.67,28.26,PLAIN,SINGLE
81977,A,14,14002,DR BECKMANN STARCH & EASY IRON,6x500ML,4,4,,,,,,,,,10.15,,,,,,,,,,,,,,,2.71,25.09,PLAIN,SINGLE
15841,A,16,16007,HEAD&SHOULDER CLASSIC CLEAN PM£2.99,6x250ML,2,2,,,,,,,,,10.99,,,,,,,,,,,,,,,2.99,26.49,PMP,SINGLE
199683,A,16,16007,HEAD&SHOULDER SMOOTH&SILKY S/POO PM£2.99,6x250ML,8,8,,,,,,,,,10.99,,,,,,,,,,,,,,,2.99,26.49,PMP,SINGLE
59760,A,16,16007,SILVIKRIN HAIRSPRAY MAXIMUM HOLD,6x250ML,7,7,,,,,,,,,14.29,,,,,,,,,,,,,,,3.99,28.37,PLAIN,SINGLE
187369,A,14,14008,ARIEL POWDER BIO PM£4.49,6x715G,1,1,,,,,,,,,16.99,,,,,,,,,,,,,,,3.99,14.84,PMP,SINGLE
48500,A,14,14008,BOLD ALL IN 1 PODS PM£4.79 LAV&CAMO,4x12S,6,6,,,,,,,,,10.99,,,,,,,,,,,,,,,4.79,31.17,PMP,SINGLE
81886,A,14,14008,FAIRY NON BIO PODS PM£4.79,4x12'S,5,5,,,,,,,,,11.99,,,,,,,,,,,,,,,4.79,24.91,PMP,SINGLE
81887,A,14,14008,DAZ LIQUID PM£3.79 20wash,4x0.66L,3,3,,,,,,,,,9.19,,,,,,,,,,,,,,,3.79,27.26,PMP,SINGLE
900064,A,16,16002,CAREX BATH SENSITIVE PMP£1.39,6x500ML,5,5,,,,,,,,,5.29,,,,,,,,,,,,,,,1.39,23.88,PMP,SINGLE
21298,A,14,14008,SURF POWDER TROPICAL PM£2.99 10WASH,7x500GRM,4,4,,,,,,,,,12.79,,,,,,,,,,,,,,,2.99,26.67,PMP,SINGLE
132556,A,14,14008,SURF POWDER COCONUT BLISS PM£2.99 10W,7x500GRM,5,5,,,,,,,,,12.89,,,,,,,,,,,,,,,2.99,26.1,PMP,SINGLE
132557,A,14,14008,SURF POWDER LAVENDER PM£2.99 10WASH,7x500GRM,4,4,,,,,,,,,12.89,,,,,,,,,,,,,,,2.99,26.1,PMP,SINGLE
81337,A,14,14008,LENOR SPRING AWAKENING FABRIC CONDITIONER PM£2.99,8x1.15LTR,2,2,,,,,,,,,14.19,,,,,,,,,,,,,,,2.99,28.81,PMP,SINGLE
81346,A,14,14008,LENOR TUMBLE DRYER SHEETS SUMMER,6x34S,3,3,,,,,,,,,9.39,,,,,,,,,,,,,,,2.49,24.58,PLAIN,SINGLE
192157,A,14,14008,PERSIL NON BIO POWDER 10W PM£2.99,7x500GRM,3,3,,,,,,,,,10.89,,,,,,,,,,,,,,,2.99,37.56,PMP,SINGLE
37512,A,14,14008,PERSIL CAPSULES BIO PM£4.95 15WASH,4x15PC,6,6,,,,,,,,,12.59,,,,,,,,,,,,,,,4.95,23.7,PMP,SINGLE
37525,A,14,14008,PERSIL CAPSULES NON BIO PM£4.95 15WASH,4x15'S,5,5,,,,,,,,,13.09,,,,,,,,,,,,,,,4.95,20.67,PMP,SINGLE
193289,A,14,14008,COMFORT F/CONDITIONER SUNSHINY DAYS PM£2.49,8x990ML,2,2,,,,,,,,,13.19,,,,,,,,,,,,,,,2.49,20.54,PMP,SINGLE
91541,A,14,14002,DOMESTOS BLEACH CITRUS PM£1.49,9x750ML,8,8,,,,,,,,,9.09,,,,,WEEK 51 PROMOTION,15/12/2025,21/12/2025,,8.59,,,,,,1.49,18.66,PMP,SINGLE
91543,A,14,14002,DOMESTOS BLEACH PINK PM£1.49,9x750ML,13,13,,,,,,,,,9.09,,,,,WEEK 51 PROMOTION,15/12/2025,21/12/2025,,8.59,,,,,,1.49,18.66,PMP,SINGLE
183111,A,14,14002,CIF CREAM LEMON PM£1.69,8x500ML,5,5,,,,,,,,,7.49,,,,,,,,,,,,,,,1.69,33.52,PMP,SINGLE
900066,A,14,14002,CIF POWER & SHINE SPRAY BATHROOM PMP £3.29,6x700ML,1,1,,,,,,,,,12.49,,,,,,,,,,,,,,,3.3,24.3,PMP,SINGLE
900067,A,14,14002,CIF POWER & SHINE SPRAY KITCHEN,6x700ML,4,4,,,,,,,,,12.49,,,,,,,,,,,,,,,3.3,24.3,PLAIN,SINGLE
900069,A,14,14002,CIF TRIGGER SPRAY ORANGE & LEMON,6x750ML,5,5,,,,,,,,,11.39,,,,,,,,,,,,,,,3.5,34.91,PLAIN,SINGLE
900068,A,14,14002,CIF TRIGGER SPRAY LAVENDER & FERN,6x750ML,1,1,,,,,,,,,11.39,,,,,,,,,,,,,,,3.5,34.91,PLAIN,SINGLE
900070,A,16,16005,COLGATE TOOTHBRUSH COMPACT BLACK£1.49,6xSGL,10,10,,,,,,,,,5.69,,,,,,,,,,,,,,,1.59,28.43,PMP,SINGLE
900071,A,16,16005,COLGATE TOOTHBRUSH EXTRA CLEAN 3PK£1.49,6x3`S,5,5,,,,,,,,,5.19,,,,,,,,,,,,,,,1.49,30.34,PMP,SINGLE
900072,A,16,16005,COLGATE TOOTHBRUSH ZIG ZAG FIRM PMP£2.00,6xSGL,10,10,,,,,,,,,7.29,,,,,,,,,,,,,,,2,27.1,PMP,SINGLE
900075,A,16,16007,ENLIVEN HAIR GEL BLUE £1.29,6x250ML,1,1,,,,,,,,,4.89,,,,,,,,,,,,,,,1.29,24.19,PMP,SINGLE
900076,A,16,16007,ENLIVEN HAIR GEL RED PMP £1.29,6x250ML,5,5,,,,,,,,,4.89,,,,,,,,,,,,,,,1.29,24.19,PMP,SINGLE
900077,A,16,16002,ENLIVEN ORIGINAL HAND WASH PMP £1.29,6x500ML,2,2,,,,,,,,,4.69,,,,,,,,,,,,,,,1.29,27.29,PMP,SINGLE
900078,A,14,14005,FAIRY ADW AIO 14S ORIGINAL,6x14`S,3,3,,,,,,,,,12.49,,,,,,,,,,,,,,,3.49,28.42,PLAIN,SINGLE
900079,A,14,14001,FEBREZE FABRIC SPRAY CLASSIC PM £3.49,8x500ML,3,3,,,,,,,,,18.99,,,,,,,,,,,,,,,3.99,28.61,PMP,SINGLE
900080,A,14,14005,FINISH SALT 2KG,6x2KG,1,1,,,,,,,,,15.49,,,,,,,,,,,,,,,3.99,22.36,PLAIN,SINGLE
900083,A,14,14002,FLASH SPRAY KITCHEN PMP £2.49,10x500ML,2,2,,,,,,,,,14.29,,,,,,,,,,,,,,,2.49,31.13,PMP,SINGLE
900086,A,14,14001,GLADE CANDLE HONEY CHOCOLATE,6x120G,7,7,,,,,,,,,10.99,,,,,,,,,,,,,,,2.99,26.49,PLAIN,SINGLE
189371,A,9,9004,GRENADE CARB KILLA BOX B'DAY CAKE,12x60GRM,4,4,,,,,,,,,18.69,,,,,,,,,,,,,,,2.75,32.04,PLAIN,SINGLE
189382,A,9,9004,GRENADE CARB KILLA BOX PEANUT NUTTER,12x60GRM,1,1,,,,,,,,,18.69,,,,,,,,,,,,,,,2.75,32.04,PLAIN,SINGLE
189383,A,9,9004,GRENADE OREO WHITE,12x60GRM,2,2,,,,,,,,,18.69,,,,,,,,,,,,,,,2.75,32.04,PLAIN,SINGLE
189381,A,9,9004,***GRENADE PROTIN BARS JAFFA QUA,12x60GRM,1,1,,,,,,,,,18.69,,,,,,,,,,,,,,,2.49,24.94,PLAIN,SINGLE
900087,A,16,16007,HEAD & SHOULDERS SHAMPOO APPLE,6x250ML,1,1,,,,,,,,,11.29,,,,,,,,,,,,,,,2.99,24.48,PLAIN,SINGLE
900088,A,16,16010,JOHNSONS BABY LOTION,6x500ML,3,3,,,,,,,,,11.69,,,,,,,,,,,,,,,3,22.07,PLAIN,SINGLE
900089,A,16,16010,JOHNSONS BABY OIL,6x500ML,1,1,,,,,,,,,11.99,,,,,,,,,,,,,,,2.99,19.8,PLAIN,SINGLE
900090,A,16,16010,JOHNSONS BABY POWDER NATURAL,6x200G,2,2,,,,,,,,,8.49,,,,,,,,,,,,,,,1.89,10.16,PLAIN,SINGLE
900091,A,16,16010,JOHNSONS BABY TOP TO TOE WASH,6x500ML,1,1,,,,,,,,,10.79,,,,,,,,,,,,,,,3,28.07,PLAIN,SINGLE
900092,A,16,16009,LYNX SHOWER GEL DARK TEMP,6x225ML,4,4,,,,,,,,,7.49,,,,,,,,,,,,,,,1.79,16.31,PLAIN,SINGLE
900093,A,16,16009,LYNX SHOWER GEL ICE CHILL,6x225ML,1,1,,,,,,,,,7.19,,,,,,,,,,,,,,,1.79,19.66,PLAIN,SINGLE
900094,A,14,14002,MR MUSCLE PLATINUM BATHROOM MANDARI,6x750ML,6,6,,,,,,,,,9.79,,,,,,,,,,,,,,,2.38,17.73,PLAIN,SINGLE
900095,A,14,14002,MR MUSCLE PLATINUM SHOWER PM £2.75,6x750ml,4,4,,,,,,,,,10.99,,,,,,,,,,,,,,,2.75,20.07,PMP,SINGLE
900096,A,16,16002,ORIGINAL SOURCE SHOWER GEL LAVENDAR,6x250ml,2,2,,,,,,,,,5.49,,,,,,,,,,,,,,,1.49,26.31,PLAIN,SINGLE
900097,A,16,16002,ORIGINAL SOURCE SHOWER GEL LEMON,6x250ML,1,1,,,,,,,,,5.49,,,,,,,,,,,,,,,1.49,26.31,PLAIN,SINGLE
900098,A,16,16002,ORIGINAL SOURCE SHOWER GEL MANGO,6x250ML,2,2,,,,,,,,,5.49,,,,,,,,,,,,,,,1.49,26.31,PLAIN,SINGLE
